OID_,CLASS_NAME,SUM_AREA,MERGE_SRC
0,Glacier,2160487.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_59_55_2015_classified_vec1
1,Land,19886013.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_59_55_2015_classified_vec1
2,Water,2953500.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_59_55_2015_classified_vec1
3,Glacier,6868612.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_60_00_2018_classified_vec
4,Land,18131388.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_60_00_2018_classified_vec
5,Glacier,1063267.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_60_05_2018_classified_vec
6,Land,23936732.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_60_05_2018_classified_vec
7,Glacier,2938949.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_60_50_2018_classified_vec
8,Land,22061051.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_60_50_2018_classified_vec
9,Glacier,9435848.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_60_55_2018_classified_vec
10,Land,15564151.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_60_55_2018_classified_vec
11,Glacier,9328813.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_61_50_2018_classified_vec
12,Land,15498019.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_61_50_2018_classified_vec
13,Water,2004.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_61_50_2018_classified_vec
14,Glacier,791678.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_62_05_2018_classified_vec
15,Land,23891782.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_62_05_2018_classified_vec
16,Water,316539.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_62_05_2018_classified_vec
17,Glacier,1382537.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_62_50_2018_classified_vec
18,Land,23617463.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_62_50_2018_classified_vec
19,Glacier,6588780.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_62_55_2018_classified_vec
20,Land,18411219.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_46_62_55_2018_classified_vec
21,Glacier,2972833.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_59_05_2015_classified_vec
22,Land,21757498.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_59_05_2015_classified_vec
23,Water,269667.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_59_05_2015_classified_vec
24,Glacier,5740759.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_00_2018_classified_vec
25,Land,19259240.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_00_2018_classified_vec
26,Glacier,1474935.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_05_2018_classified_vec
27,Land,23525065.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_05_2018_classified_vec
28,Glacier,4020609.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_50_2018_classified_vec
29,Land,20905057.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_50_2018_classified_vec
30,Water,74333.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_50_2018_classified_vec
31,Glacier,5956271.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_55_2018_classified_vec
32,Land,18861586.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_55_2018_classified_vec
33,Water,182142.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_60_55_2018_classified_vec
34,Glacier,7290502.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_61_00_2018_classified_vec
35,Land,17644418.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_61_00_2018_classified_vec
36,Water,65079.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_61_00_2018_classified_vec
37,Glacier,873093.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_61_50_2018_classified_vec
38,Land,22768085.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_61_50_2018_classified_vec
39,Water,1358821.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_61_50_2018_classified_vec
40,Glacier,8749468.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_61_55_2018_classified_vec
41,Land,16250531.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_61_55_2018_classified_vec
42,Glacier,1501786.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_62_00_2018_classified_vec
43,Land,21637983.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_62_00_2018_classified_vec
44,Water,1860230.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_62_00_2018_classified_vec
45,Glacier,7725063.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_62_05_2018_classified_vec
46,Land,17274936.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_62_05_2018_classified_vec
47,Glacier,3234794.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_62_50_2018_classified_vec
48,Land,21422841.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_62_50_2018_classified_vec
49,Water,342364.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_47_62_50_2018_classified_vec
50,Glacier,3484902.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_60_00_2018_classified_vec
51,Land,21427028.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_60_00_2018_classified_vec
52,Water,88069.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_60_00_2018_classified_vec
53,Glacier,2077014.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_60_05_2018_classified_vec
54,Land,22922985.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_60_05_2018_classified_vec
55,Glaciers,5266991.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_60_55_2018_classified_vec
56,Land,19525730.500000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_60_55_2018_classified_vec
57,Water,207278.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_60_55_2018_classified_vec
58,Glacier,9721695.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_61_00_2018_classified_vec
59,Land,15278304.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_61_00_2018_classified_vec
60,Glacier,10730139.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_61_05_2018_classified_vec
61,Land,14269861.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_61_05_2018_classified_vec
62,Glacier,4509938.250000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_61_50_2018_classified_vec
63,Land,20490061.750000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_61_50_2018_classified_vec
64,Glacier,830457.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_62_00_2018_classified_vec
65,Land,22893077.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_62_00_2018_classified_vec
66,Water,1276466.000000000000000,C:\TEMP\Emma\project\glaciers.gdb\area__2018_2015_48_62_00_2018_classified_vec
